Time	Epoch_Time	Longitude	Latitude	Altitude	X_J2000	Y_J2000	Z_J2000	X_MSO	Y_MSO	Z_MSO	Instrument_Observation_Direction_X	Instrument_Observation_Direction_Y	Instrument_Observation_Direction_Z	Solar_Incident_Angle	Solar_Azimuth_Angle	Energy_CSI_1	Energy_CSI_2	Energy_CSI_3	Energy_CSI_4	Energy_CSI_5	Energy_CSI_6	Energy_CSI_7	Energy_CSI_8	Energy_CSI_9	Energy_CSI_10	Energy_CSI_11	Energy_CSI_12	Energy_CSI_13	Energy_CSI_14	Energy_CSI_15	Energy_CSI_16	Energy_CSI_17	Energy_CSI_18	Energy_CSI_19	Energy_CSI_20	Energy_CSI_21	Energy_CSI_22	Energy_SD1_1	Energy_SD1_2	Energy_SD1_3	Energy_SD1_4	Energy_SD1_5	Energy_SD1_6	Energy_SD1_7	Energy_SD1_8	Energy_SD1_9	Energy_SD1_10	Energy_SD1_11	Energy_SD1_12	Energy_SD1_13	Energy_SD1_14	Energy_SD1_15	Energy_SD1_16	Energy_SD1_17	Energy_SD1_18	Energy_SD1_19	Energy_SD1_20	Energy_SD1_21	Energy_SD1_22	Energy_SD2_1	Energy_SD2_2	Energy_SD2_3	Energy_SD2_4	Energy_SD2_5	Energy_SD2_6	Energy_SD2_7	Energy_SD2_8	Energy_SD2_9	Energy_SD2_10	Energy_SD2_11	Energy_SD2_12	Energy_SD2_13	Energy_SD2_14	Energy_SD2_15	Energy_SD2_16	Energy_SD2_17	Energy_SD2_18	Energy_SD2_19	Energy_SD2_20	Energy_SD2_21	Energy_SD2_22	Energy_Total_1	Energy_Total_2	Energy_Total_3	Energy_Total_4	Energy_Total_5	Energy_Total_6	Energy_Total_7	Energy_Total_8	Energy_Total_9	Energy_Total_10	Energy_Total_11	Energy_Total_12	Energy_Total_13	Energy_Total_14	Energy_Total_15	Energy_Total_16	Energy_Total_17	Energy_Total_18	Energy_Total_19	Energy_Total_20	Energy_Total_21	Energy_Total_22	He_Index_1	He_Index_2	He_Index_3	He_Index_4	He_Index_5	He_Index_6	He_Index_7	He_Index_8	He_Index_9	He_Index_10	He_Index_11	He_Index_12	He_Index_13	He_Index_14	He_Index_15	He_Index_16	He_Index_17	He_Index_18	He_Index_19	He_Index_20	He_Index_21	He_Index_22	Electron_Index_1	Electron_Index_2	Electron_Index_3	Electron_Index_4	Electron_Index_5	Electron_Index_6	Electron_Index_7	Electron_Index_8	Electron_Index_9	Electron_Index_10	Electron_Index_11	Electron_Index_12	Electron_Index_13	Electron_Index_14	Electron_Index_15	Electron_Index_16	Electron_Index_17	Electron_Index_18	Electron_Index_19	Electron_Index_20	Electron_Index_21	Electron_Index_22	Proton_Index_1	Proton_Index_2	Proton_Index_3	Proton_Index_4	Proton_Index_5	Proton_Index_6	Proton_Index_7	Proton_Index_8	Proton_Index_9	Proton_Index_10	Proton_Index_11	Proton_Index_12	Proton_Index_13	Proton_Index_14	Proton_Index_15	Proton_Index_16	Proton_Index_17	Proton_Index_18	Proton_Index_19	Proton_Index_20	Proton_Index_21	Proton_Index_22	Divide_Ratio	He_Sample_Counts_1	He_Sample_Counts_2	He_Sample_Counts_3	He_Sample_Counts_4	He_Sample_Counts_5	He_Sample_Counts_6	He_Sample_Counts_7	He_Sample_Counts_8	He_Sample_Counts_9	He_Sample_Counts_10	He_Sample_Counts_11	He_Sample_Counts_12	He_Sample_Counts_13	He_Sample_Counts_14	He_Sample_Counts_15	He_Sample_Counts_16	Electron_Sample_Counts_1	Electron_Sample_Counts_2	Electron_Sample_Counts_3	Electron_Sample_Counts_4	Electron_Sample_Counts_5	Electron_Sample_Counts_6	Electron_Sample_Counts_7	Electron_Sample_Counts_8	Electron_Sample_Counts_9	Electron_Sample_Counts_10	Electron_Sample_Counts_11	Electron_Sample_Counts_12	Electron_Sample_Counts_13	Electron_Sample_Counts_14	Electron_Sample_Counts_15	Electron_Sample_Counts_16	Proton_Sample_Counts_1	Proton_Sample_Counts_2	Proton_Sample_Counts_3	Proton_Sample_Counts_4	Proton_Sample_Counts_5	Proton_Sample_Counts_6	Proton_Sample_Counts_7	Proton_Sample_Counts_8	Proton_Sample_Counts_9	Proton_Sample_Counts_10	Proton_Sample_Counts_11	Proton_Sample_Counts_12	Proton_Sample_Counts_13	Proton_Sample_Counts_14	Proton_Sample_Counts_15	Proton_Sample_Counts_16	He_Flux_1	He_Flux_2	He_Flux_3	He_Flux_4	He_Flux_5	He_Flux_6	He_Flux_7	He_Flux_8	He_Flux_9	He_Flux_10	He_Flux_11	He_Flux_12	He_Flux_13	He_Flux_14	He_Flux_15	He_Flux_16	Electron_Flux_1	Electron_Flux_2	Electron_Flux_3	Electron_Flux_4	Electron_Flux_5	Electron_Flux_6	Electron_Flux_7	Electron_Flux_8	Electron_Flux_9	Electron_Flux_10	Electron_Flux_11	Electron_Flux_12	Electron_Flux_13	Electron_Flux_14	Electron_Flux_15	Electron_Flux_16	Proton_Flux_1	Proton_Flux_2	Proton_Flux_3	Proton_Flux_4	Proton_Flux_5	Proton_Flux_6	Proton_Flux_7	Proton_Flux_8	Proton_Flux_9	Proton_Flux_10	Proton_Flux_11	Proton_Flux_12	Proton_Flux_13	Proton_Flux_14	Proton_Flux_15	Proton_Flux_16	Sample_Ratio
1681437383.226	1681466183.226	-16.931846	71.089071	1261.893992	-177321235.544972	155245814.206579	75997036.551361	81.9135021745334	1719.3185068039	4329.15808523945	-0.572446	0.274653	0.772576	180	223.098	0	0	0	0	0	0	0	46.546	38.17	0	2.747	0.477	0	0	0	0	20.674	0	24.457	6.813	0	0	0.24	0.226	0.222	0.226	0.224	0.24	0.237	0.154	0.16	0.253	0.176	0.211	0.242	0.235	0.246	0.242	0.178	0.235	0.165	0.196	0.246	0	0.062	0.083	0.053	0.057	0.059	0.068	0.07	0.267	0.055	0.058	0.066	0.134	0.087	0.059	0.059	0.086	0.144	0.052	0.262	0.193	0.08	0	0.302	0.309	0.275	0.283	0.283	0.308	0.307	46.967	38.385	0.311	2.989	0.822	0.329	0.294	0.305	0.328	20.996	0.287	24.884	7.202	0.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.438596491228	0	0	0	2.89204687110446	0	0	0	0.42020216070849	0	0	0.0832651420532036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76190476190476
1681437387.226	1681466187.226	-16.846156	71.252446	1256.090639	-177321296.417237	155245746.697968	75997003.49252	93.9424875580743	1711.51590100254	4325.76286906101	-0.572446	0.274653	0.772576	180	223.227	0	22.174	0	22.39	0	0	0	0	0	0	0	0	25.916	0	0	43.196	0	0	0	0	0	0	0.235	0.167	0.24	0.169	0.222	0.218	0.218	0.229	0.246	0.231	0.202	0.24	0.171	0.233	0.237	0.165	0.215	0.209	0.248	0.24	0	0	0.077	0.09	0.066	0.193	0.072	0.707	0.055	0.078	0.074	0.064	2.187	0.189	0.099	0.344	0.072	0.158	0.138	0.082	0.093	0.055	0	0	0.312	22.431	0.306	22.752	0.294	0.925	0.273	0.307	0.32	0.295	2.389	0.429	26.186	0.577	0.309	43.519	0.353	0.291	0.341	0.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.04303863106	32.705389848247	7.39426205264715	0	3.7397157816006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57142857142857
1681437391.226	1681466191.226	-16.758481	71.416168	1250.295265	-177321357.298162	155245679.195152	75996970.4043	105.970614234983	1703.70274312708	4322.33832933779	-0.572446	0.274653	0.772576	180	223.355	0	0	21.552	0	21.255	0	0	0	0	0	0	0	16.311	0	0	21.296	0	0	0	0	0	0	0.235	0.242	0.187	0.244	0.193	0.24	0.222	0.233	0.242	0.22	0.218	0.237	0.196	0.222	0.233	0.185	0.244	0.226	0.222	0.244	0.226	0	0.065	0.052	0.055	0.078	0.098	0.075	0.36	0.067	0.08	0.07	0.12	0.052	0.072	0.479	0.078	0.213	0.077	0.069	0.317	0.067	0.085	0	0.3	0.294	21.794	0.322	21.546	0.315	0.582	0.3	0.322	0.29	0.338	0.289	16.579	0.701	0.311	21.694	0.321	0.295	0.539	0.311	0.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255.595886267393	13.2275132275132	17.9434092477571	6.68105663480316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33333333333333
1681437395.225	1681466195.225	-16.668783	71.580202	1244.509264	-177321418.173612	155245611.713659	75996937.294242	117.99516736232	1695.87913434681	4318.88519307531	-0.572446	0.274653	0.772576	180	223.483	0	0	0	21.782	0	54.801	25.565	0	0	0	0	0	0	0	0	29.172	40.304	0	0	0	0	0	0.244	0.233	0.246	0.189	0.235	0.147	0.163	0.253	0.235	0.242	0.242	0.229	0.242	0.24	0.248	0.167	0.163	0.246	0.22	0.22	0.226	0	0.051	0.057	0.052	0.197	0.09	1.934	0.054	0.052	0.068	0.057	0.072	0.062	0.084	0.052	0.073	0.091	0.169	0.074	0.358	0.187	0.08	0	0.295	0.29	0.298	22.168	0.325	56.882	25.782	0.305	0.303	0.299	0.314	0.291	0.326	0.292	0.321	29.43	40.636	0.32	0.578	0.407	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214.761040532365	10.3203674632246	6.9999014098393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38095238095238
1681437399.225	1681466199.225	-16.576951	71.744624	1238.729878	-177321479.073243	155245544.221045	75996904.146341	130.021737565872	1688.0427305338	4315.4017121835	-0.572446	0.274653	0.772576	180	223.611	0	21.282	0	0	19.134	0	0	0.22	0	0	0	0	0	0	0	0	0	0	0	0.477	9.961	0	0.24	0.185	0.246	0.253	0.13	0.24	0.233	0.22	0.242	0.209	0.237	0.237	0.235	0.209	0.244	0.213	0.246	0.237	0.235	0.218	0.218	0	0.071	0.053	0.06	0.078	0.602	0.084	0.058	0.656	0.058	0.103	0.066	0.065	0.069	0.058	0.059	0.107	0.081	0.071	0.06	0.186	0.07	0	0.311	21.52	0.306	0.331	19.866	0.324	0.291	1.096	0.3	0.312	0.303	0.302	0.304	0.267	0.303	0.32	0.327	0.308	0.295	0.881	10.249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239.823697173969	10.7564393278679	0	0	7.37970580902518	0	0	0	0	0	0	0	0.0702513860408597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52380952380952
1681437403.225	1681466203.225	-16.482946	71.909395	1232.958573	-177321539.982876	155245476.733064	75996870.968226	142.047472767923	1680.19383724983	4311.8886004468	-0.572425	0.274617	0.772596	179.664	220.419	0	0	0	27.767	0	0	0	25.349	0	0	0	47.154	0	0	0	0	27.754	0	23.093	0	0	0	0.233	0.22	0.226	0.167	0.235	0.213	0.24	0.18	0.211	0.24	0.22	0.158	0.242	0.24	0.24	0.224	0.165	0.237	0.18	0.242	0.209	0	0.074	0.199	0.052	0.1	0.084	0.068	0.085	0.188	0.201	0.084	0.413	0.53	0.072	0.052	0.079	0.071	0.131	0.052	0.067	0.057	0.219	0	0.307	0.419	0.278	28.034	0.319	0.281	0.325	25.717	0.412	0.324	0.633	47.842	0.314	0.292	0.319	0.295	28.05	0.289	23.34	0.299	0.428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147.783251231527	24.8560962846677	0	4.18483767234924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71428571428571
1681437407.227	1681466207.227	-16.386654	72.074595	1227.19251	-177321600.932013	155245409.217199	75996837.743673	154.078186862878	1672.33010508361	4308.34394500593	-0.57237	0.274511	0.772659	179.388	59.415	20.377	32.347	0	29.28	0	16.918	81.267	0	0	0	0	0	0	0	0	0	0	0	0	0	2.206	0	0.185	0.174	0.24	0.169	0.229	0.189	0.097	0.229	0.22	0.218	0.235	0.242	0.242	0.207	0.229	0.235	0.237	0.226	0.235	0.224	0.218	0	0.075	0.122	0.088	0.113	0.072	0.122	0.052	0.085	0.06	0.468	0.055	0.093	0.072	0.693	0.084	0.061	0.053	0.055	0.065	0.063	0.257	0	20.637	32.643	0.328	29.562	0.301	17.229	81.416	0.314	0.28	0.686	0.29	0.335	0.314	0.9	0.313	0.296	0.29	0.281	0.3	0.287	2.681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.339382940109	9.15750915750916	0	4.62534690101758	3.1413612565445	0	0	0.89031339031339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
1681437411.227	1681466211.227	-16.288096	72.240059	1221.437658	-177321661.860701	155245341.739999	75996804.505599	166.101837931237	1664.4580248184	4304.7713896031	-0.572373	0.274526	0.772648	179.342	93.054	0	0	0	1.233	0	0	9.88	1.139	0	0	0	0	7.367	0	0	0	0	0	0	0.045	9.866	0	0.237	0.218	0.229	0.211	0.235	0.233	0.2	0.209	0.233	0.224	0.244	0.229	0.176	0.226	0.218	0.253	0.226	0.237	0.237	0.213	0.202	0	0.062	0.211	0.055	0.144	0.063	0.063	0.071	1.325	0.085	0.055	0.075	0.076	0.166	0.056	0.148	0.06	0.1	0.071	0.058	1.359	0.227	0	0.299	0.429	0.284	1.588	0.298	0.296	10.151	2.673	0.318	0.279	0.319	0.305	7.709	0.282	0.366	0.313	0.326	0.308	0.295	1.617	10.295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.803474202748	20.0593057735915	0	0	0	0	1.57815287498285	0	0	0	0	0.0990568069253628	0.131009341535657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28571428571429
1681437415.227	1681466215.227	-16.187158	72.405864	1215.691223	-177321722.798379	155245274.269167	75996771.237872	178.124118783319	1656.57546185067	4301.16901482782	-0.572373	0.274526	0.772648	179.342	93.069	0	0	0	0	0	0	0	20.053	0	0	0	19.621	0	0	134.01	0	26.267	12.73	0	0	0	0	0.229	0.218	0.229	0.246	0.215	0.229	0.24	0.176	0.231	0.255	0.215	0.207	0.231	0.253	0	0.224	0.163	0.189	0.226	0	0	0	0.063	2.252	0.057	0.081	0.075	0.053	0.094	0.057	0.091	0.054	0.942	0.126	0.063	0.061	0.346	0.066	0.071	0.145	0.053	0	0	0	0.292	2.47	0.286	0.327	0.29	0.282	0.334	20.286	0.322	0.309	1.157	19.954	0.294	0.314	134.356	0.29	26.501	13.064	0.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144.974505228589	8.8667945810803	0	0	0	2.08495686531862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9047619047619
1681437419.226	1681466219.226	-16.083787	72.571972	1209.954453	-177321783.731008	155245206.820249	75996737.947964	190.142255794606	1648.68244530108	4297.53747504422	-0.572373	0.274526	0.772648	179.342	93.085	0	0	0	0	0	17.972	30.28	0	16.716	0	0	24.227	0	0	13.109	0	0	53.72	0	0	0	0	0.255	0.242	0.24	0.235	0.235	0.187	0.156	0.24	0.182	0.246	0.213	0.165	0.237	0.235	0.187	0.248	0.218	0.268	0.218	0.207	0.237	0	0.081	0.056	0.056	0.099	0.056	0.089	0.089	0.074	0.126	0.089	0.168	0.1	0.069	0.068	0.179	0.071	0.114	0.058	0.142	1.149	0.086	0	0.336	0.298	0.296	0.334	0.291	18.248	30.525	0.314	17.024	0.335	0.381	24.492	0.306	0.303	13.475	0.319	0.332	54.046	0.36	1.356	0.323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.720594589923	61.9222047793476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38095238095238
